단계,가치창출,비용지불,가치잠식,서비스 개선 영역,개선 방향
1. 구매 결심,,,,,
"2. 식자재 1,2개 구매 하고 싶은데, 대형마트는 너무 멀다.",,,위치 검색 시간 소요,개선구간,
3. 집 근처 가까운 마트가 있는지 지도에 검색해보고 마감시간을 확인한다.,,,위치 검색 시간 소요,개선구간,
4. 가격이 얼마나 비싼지는 모르는 상태에서 일단 필요한 식자재를 구매하러 간다.,,,마트의 식자재 가격을 모르는 상태에서 거리만 확인하고 이동하는 감수,개선구간,"2,3,4 공통 개선 방향
지도상으로 한눈에 알아보기 쉽도록 원하는 상품 개당 가격 표시"
5. 사고 싶은 물건을 비교해 본다.,,,신선도와 가격 비교하며 구매 결정까지 걸리는 지체시간 소요,개선구간,당근의 매너온도처럼 마트의 고객리뷰에 따른 신뢰도 지수화
6. 원하는 물건을 장바구니에 담는다.,,,,,
7. 탐색과정을 반복한다,,,,,
8. 계산대 앞에 가서 결제한다.,,개인정보 지급,계산대 앞으로 가서 대면으로 결제하는데 걸리는 시간 소요,개선구간,미리 온라인으로 결제하기(픽업)
"9. 할인(포인트,쿠폰 등)을 받고 결제 진행",,"할인수단(쿠폰, 적립금 등) 사용",,,
10. 결제후 포인트를 적립한다.,적립금 획득,,,,
11. 상품과 함께 귀가한다.,상품 획득,,,,
12. 구매 당일 또는 익일 이내에 만들려고 했던 요리를 진행하여 식자재 소비한다.,,,,,
13. 상품을 정리한다,,,,,
